District,Area,YEAR,Max_Temp,Min_Temp,Rainfall, Humidity,Wind,Cloud,Sunshine,ALT
41883,286080,1969,33.05,26.15,323,87.5,1.35,6,4.2,20
41978,264775,1969,33.25,24.75,699.5,88,4.4,6.5,4.8,6
41933,566325,1969,34.15,24.8,601.5,88.5,2.4,4.8,4.9,10
41923,499125,1969,33.05,26,369,87,2,5.95,5.35,9
41863,484460,1969,35.3,26.5,482.5,87,0.9,5.25,4.748,37
41929,577015,1969,32.8,25.75,335,88,1.5,6.35,4.69482758620689,9
41936,636155,1969,34.2,25.65,337,88.5,3.1,6.3,4.95,7
41947,119700,1969,35,26.2,290,93,0.45,4.75,4.12666666666667,4
41886,1089970,1969,34.45,25.75,486,86.5,0.5,5.55,4.03428571428572,19
41953,478290,1969,31.95,25.1,758,88.5,1.35,6.35,4.10862068965518,6
41907,414815,1969,35.15,25.8,400.5,89,1.3,6.25,4.63275862068966,14
41895,474080,1969,32.75,26.05,504,85.5,1.35,5.95,4.74571428571429,20
41859,906800,1969,37.05,26.25,528,84.5,0.8,5.55,4.74714285714286,34
41891,360260,1969,34.3,24.85,851,88.5,1.25,7.2,4.35,35
41883,228600,1970,34.45,26.4,400,86,1.2,6.25,4.6,20
41978,217790,1970,33.5,24.95,723,88,3.75,6.7,4.95,6
41933,564220,1970,34.45,25.95,393,90,1.55,4,4.9,10
41923,400750,1970,34.2,26.25,388,86.5,1.8,6,5.45,9
41863,489920,1970,35.3,26.4,356,86,0.65,5.4,4.748,37
41929,479420,1970,34.4,25.85,336.5,87.5,1.35,6.6,4.69482758620689,9
41936,637010,1970,35.3,25.95,347.5,86.5,2.9,6.25,5.45,7
41947,83640,1970,36.1,26.3,452,87.5,0.15,4.5,4.12666666666667,4
41886,709830,1970,33.9,25.6,265,85,0.35,5.75,4.03428571428572,19
41953,489270,1970,34.35,24.85,694,87.5,1.05,6.5,4.10862068965518,6
41907,324480,1970,34.9,26.2,273.5,85,3.4,5.9,4.63275862068966,14
41895,463400,1970,32.75,26.05,290.5,84,1.1,6.9,4.74571428571429,20
41859,916840,1970,34.35,25.1,471.5,86,0.8,4.8,4.74714285714286,34
41891,355030,1970,34.7,24.9,869,88.5,1.25,6.85,4.2,35
41883,210665,1971,33.3,25,332.5,86,1.7,6.8,4.95,20
41978,197320,1971,32.1,24.3,828,86,4,6.95,4.5,6
41933,502410,1971,32.75,24.65,299,86.5,2.35,4.7,4.9,10
41923,406315,1971,33,25.05,545,84.5,1.8,6.4,4.95,9
41863,303370,1971,32.75,25.8,358.5,84.5,0.95,5.8,4.748,37
41929,435560,1971,33.05,24.9,408,86,1.4,6.05,4.69482758620689,9
41936,626820,1971,32.85,25.2,494.5,87,2.6,7,3.75,7
41947,93475,1971,33.9,25.65,160,87.5,0.4,4.35,4.12666666666667,4
41886,720075,1971,35,25.45,387,85.5,1,6.1,4.03428571428572,19
41953,463375,1971,32.2,24.5,879,87,1.3,7,4.10862068965518,6
41907,324625,1971,33.2,25.4,266,85,3.75,6.25,4.63275862068966,14
41895,442885,1971,35.15,25.4,452,86.5,1.2,6.4,4.74571428571429,20
41859,916865,1971,35.6,25.75,368,85.5,1.35,5.2,4.74714285714286,34
41891,329135,1971,33.9,24.4,540.5,86.5,1.45,7.15,3.4,35
41883,257240,1972,37.25,26,284,85.5,1.05,5.7,5.1,20
41978,246185,1972,35.1,25.1,468.5,86,4.8,7.35,4.5,6
41933,493115,1972,34.9,25.8,295.5,86.5,3.6,6.45,4.9,10
41923,360745,1972,34,25.85,314.5,86.5,1.85,6.65,4.95,9
41863,274650,1972,36.8,26.1,317.5,84.5,0.8,5,4.748,37
41929,539500,1972,34.75,24.6,284.5,85.5,1.6,6.65,4.69482758620689,9
41936,561830,1972,34.7,25.4,270.5,86.5,3,6.3,3.8,7
41947,72400,1972,34.4,26.35,239,87.5,1.05,4.85,4.12666666666667,4
41886,729060,1972,35.55,25.55,274,85.5,0.9,6.35,4.03428571428572,19
41953,436350,1972,33.3,23.8,630,86.5,1.4,6.25,4.10862068965518,6
41907,293915,1972,35.75,25.65,222.5,84,2.75,5.85,4.63275862068966,14
