District,Area,YEAR,Max_Temp,Min_Temp,Rainfall, Humidity,Wind,Cloud,Sunshine,ALT
2,36600,1970,41.7,24.8,206.333333333333,73,1.46666666666667,4.16666666666667,7.13333333333333,20
3,167445,1970,34.3333333333333,24.9333333333333,170.333333333333,81.6666666666667,3.7,5.2,6.63333333333333,6
4,187455,1970,35.2333333333333,25.2333333333333,150,92,1.66666666666667,2.96666666666667,6.43535353535354,10
5,179600,1970,36.1666666666667,25.3333333333333,171,77.6666666666667,2.26666666666667,4.7,7.76666666666667,9
6,13350,1970,36.8666666666667,24.3666666666667,134.333333333333,67,0.9,3.16666666666667,6.5,37
7,46300,1970,36.4666666666667,24.9,183,75,2.3,5.16666666666667,6.68735632183908,9
8,23670,1970,37.2666666666667,25.3,156,75,4.06666666666667,4.4,8.2,7
9,53695,1970,37.0666666666667,26.2,242.666666666667,79,0.466666666666667,2.63333333333333,6.86222222222222,4
10,139000,1970,35.9333333333333,24.1666666666667,287.666666666667,75,0.366666666666667,4.7,5.72,19
11,52235,1970,34.3333333333333,24.6333333333333,306,83.6666666666667,1.06666666666667,4.7,6.0632183908046,6
12,26435,1970,40.1333333333333,25.2,174.666666666667,72.3333333333333,4.4,4.36666666666667,6.87126436781609,14
14,95000,1970,35.9,24.3333333333333,167.333333333333,67.6666666666667,1.03333333333333,4.56666666666667,6.98571428571429,20
16,35000,1970,37.3333333333333,22,242.666666666667,79.6666666666667,1.26666666666667,3.8,6.23333333333333,34
17,669400,1970,34.6,23.1333333333333,757.333333333333,81.6666666666667,1.6,5.36666666666667,6.8,35
2,30065,1971,34.5,24.1333333333333,175.666666666667,75.3333333333333,1.66666666666667,4.2,6.96666666666667,20
3,157270,1971,33.5333333333333,24.1666666666667,319.666666666667,80.6666666666667,3.33333333333333,5.16666666666667,6.56666666666667,6
4,167470,1971,34.1666666666667,24.1,192,81.6666666666667,2.13333333333333,3.73333333333333,6.43535353535354,10
5,186300,1971,34.2666666666667,24.2333333333333,256.666666666667,77.6666666666667,1.76666666666667,4.83333333333333,6.9,9
6,3685,1971,33.9,23.3666666666667,181.666666666667,70.6666666666667,1.03333333333333,3.7,6.5,37
7,43760,1971,33.6666666666667,24.2,226.666666666667,78.3333333333333,1.96666666666667,4.4,6.68735632183908,9
8,14830,1971,35.3,17.4,207.666666666667,75.6666666666667,3.16666666666667,4.56666666666667,6.76666666666667,7
9,47675,1971,34.9,25.1,83,79,1.2,3.23333333333333,6.86222222222222,4
10,135030,1971,32.8666666666667,23.6666666666667,263,78.3333333333333,1.7,5,5.72,19
11,68295,1971,34.1666666666667,24.4333333333333,344,81,1.2,4.5,6.0632183908046,6
12,29435,1971,35.6666666666667,24.2,174.666666666667,72.3333333333333,2.56666666666667,4.36666666666667,6.87126436781609,14
14,84240,1971,35.6666666666667,24.1,137.666666666667,72,1.73333333333333,4.43333333333333,6.98571428571429,20
16,29995,1971,33.7666666666667,22.8333333333333,41.6666666666667,78.6666666666667,1.4,4.26666666666667,6.23333333333333,34
17,578675,1971,33.0333333333333,22.8333333333333,492,81,1.56666666666667,5.9,5.2,35
