District,Area,YEAR,Max_Temp,Min_Temp,Rainfall, Humidity,Wind,Cloud,Sunshine,ALT
2,5645,1969,30.75,14.1,8,70.5,0.6,1.575,9.2,20
3,75,1969,29.925,15.775,13.5,73.75,1.025,2.375,8.875,6
4,15590,1969,31.4,16.95,14,76.25,0.3,0.7,7.4,10
5,15570,1969,30.025,14.775,6.5,69.25,0.6,1.875,9.125,9
6,6610,1969,28.975,13.25,24.5,73.5,0.2,0.6,6.724,37
7,75310,1969,28.9,14.625,18.25,75,0.5,1.35,7.47672413793103,9
8,13415,1969,30.125,13.675,22.25,69.25,1.175,1.575,9.2,7
9,620,1969,31.75,16.75,7,72.5,0.2,0.65,7.62583333333333,4
10,5990,1969,29.05,14.625,5.75,69.5,0.2,1.5,6.88857142857143,19
11,775,1969,29.725,15.25,25.25,72,0.15,1.05,7.43448275862069,6
12,60315,1969,28.9,12.925,14,73,0.875,1.55,7.24913793103448,14
14,38180,1969,28.425,13.65,27.5,68.25,0.525,1.575,7.53214285714286,20
16,14320,1969,28.15,12.6,18.25,83.5,0.4,1.225,7.17357142857143,34
17,255,1969,29.475,14.2,41.75,74.25,1.15,2.025,8.9,35
2,5690,1970,30.1,13.6,6.75,72.75,0.475,1.175,9.625,20
3,45,1970,29.475,16.3,40.25,74.5,1.075,1.825,8.075,6
4,16505,1970,30.275,15.35,24.5,78.25,0.425,0.75,7.4,10
5,15700,1970,29.25,14.65,15.75,69.25,0.625,1.375,8.875,9
6,6730,1970,31.1,12.475,4.75,71.25,0.425,0.6,6.724,37
7,76150,1970,29.025,13.775,13.25,75,0.6,1.225,7.47672413793103,9
8,16490,1970,30.75,13.3,6.5,70.5,0.95,1.425,9.1,7
9,585,1970,30.75,15.675,3.25,74.25,0.4,0.975,7.62583333333333,4
10,6060,1970,28.35,14.35,4.5,71.25,0.35,0.975,6.88857142857143,19
11,710,1970,28.8,15,37.75,75.25,0.225,0.8,7.43448275862069,6
12,61315,1970,30.175,13.05,5.5,71.75,1.125,1.15,7.24913793103448,14
14,39150,1970,28.85,14,10,70.75,0.7,1.7,7.53214285714286,20
16,15800,1970,32.25,11.525,4.75,81,0.65,0.55,7.17357142857143,34
17,355,1970,29.725,14.15,19,72.5,1.725,1.725,9.275,35
2,6210,1971,28.95,13.4,15,68.5,0.75,1.025,9.45,20
3,5,1971,28.65,16,11.5,74,1.275,1.575,8.275,6
4,19710,1971,28.875,14.625,14.75,75.25,0.625,1.1,7.4,10
5,15650,1971,30.025,14,27.25,70,0.6,1.375,8.05,9
