Productions,Prediction
10114,63930.20699
45420,70177.9533
0,52970.93005
18460,77898.49151
29776,83001.71059
59030,61121.53173
446618,342159.278
170790,168203.9416
3951,63039.56982
658,48092.53246
139547,167267.3479
313,66242.52388
43064,78343.97234
177276,192110.1445
281,37906.43302
13078,82480.84598
40889,70736.59034
0,50204.2028
16442,79278.65019
45835,89082.66166
46565,65579.59779
516213,388684.3644
203091,193805.3138
4791,87392.86396
529,63209.00201
170620,182448.7371
0,71727.26032
54289,85215.9005
162960,162370.7298
288,38188.96883
12051,65227.1504
43615,66985.07803
0,39949.07239
19483,67081.07371
45630,77292.07226
49769,67504.18998
559983,408508.0719
205744,170541.2758
5127,52855.30686
0,55119.41405
239844,213593.7071
0,58875.08345
54223,82456.56757
116960,123313.28
264,42174.5396
21694,68314.38281
46339,67141.7104
0,50793.09405
11718,59327.53428
29825,75092.46227
63669,92273.35548
508439,490486.2076
210148,188823.1589
8125,73319.49728
0,52856.16172
183700,212315.7231
276,65148.01058
68579,94853.96528
97608,115316.1301
281,40280.57387
18879,83656.75657
39470,61434.81139
0,79626.01826
10778,71889.31092
55858,104407.3207
55732,93267.6332
573144,500208.3303
189479,167190.4883
7903,73212.3109
0,61360.94916
157955,187115.4433
0,67050.89914
75870,103714.7217
81184,106622.6372
0,56345.65582
20985,121541.9044
76646,114280.2857
0,98931.33551
9237,97272.04989
63147,127733.8247
48951,91329.29901
610121,475332.4049
194844,222497.3796
6562,100747.261
0,98910.73014
186852,226696.7173
0,98967.2668
77254,125123.4141
67878,113900.9434
0,90790.76946
31520,144609.2904
193658,219542.702
0,112915.5763
11421,106643.6369
67453,154473.355
121498,151073.2022
891203,704621.8802
462748,397143.281
38641,132652.497
270,101381.8629
367708,335734.8688
0,105580.9419
134746,164800.2761
104353,131486.3869
0,68044.38654
39846,118099.6377
202306,235703.8037
0,124168.4983
17804,92100.82104
58982,120036.2134
127793,150806.939
786810,755440.9771
355312,419705.5594
30916,116207.7761
0,95808.79645
364293,351394.018
0,89149.4291
153972,163229.0817
126464,167328.0787
0,85148.20191
57528,130045.1643
171172,203059.129
0,132095.2224
10761,94510.89517
57230,121153.6876
114757,138655.9073
698330,594868.0129
287542,346120.7251
16738,109541.6478
96470,161486.5076
0,99296.95032
398607,366164.6755
0,92662.91955
119524,149789.4748
0,63912.60234
118567,159034.9807
0,70849.03207
219522,275643.1232
45579,137943.2763
176883,188253.3149
0,142559.5805
8976,97890.6856
52200,124196.4003
108139,135928.5674
722400,666226.3561
296509,334789.3063
22097,103989.7282
